pull_id,pull_no,title,body
405714179,8629,b'RavenDB-12761 Fixing race condition in test - make sure that Index.Re\xe2\x80\xa6',"b""\xe2\x80\xa6setErrors isn't called meanwhile when indexing thread starts"""
405674545,8628,b'RavenDB-12809 and RavenDB-12800',b''
405649491,8627,b'RavenDB-12725',b''
405646969,8626,b'RavenDB-12725',b''
405590219,8625,"b""RavenDB-12423 Fixing error message - Page doesn't have ToString overl\xe2\x80\xa6""",b'\xe2\x80\xa6oad while TreePage does'
405389229,8624,b'RavenDB-12376: librvnpal with mingw [NOT for merge (nor for review)]',b''
405378265,8623,b'RavenDB-12535: Asynchronous Global Prefetcher',"b'PrefetchVirtualMemory is a quite costly kernel call. We should just enqueue this on a dedicated worker thread and continue with our work, expecting the OS to do the right thing and when we need that memory we already have the memory in place.'"
405288963,8622,b'Fix failure conditions in RavenCli to make sure that proper commands are supported when named pipes are not used (RavenDB-12778)',b''
405236313,8621,b'RavenDB-12789 fixing 32 bit issues relating to the actual size of the\xe2\x80\xa6',b'\xe2\x80\xa6 transaction'
405234291,8620,b'RavenDB-12778 fix',"b'Make sure to separate ""color in console"" and ""use named pipes"" flags in RavenCli. This makes the cli not to use ""named pipes"" mode when running in interactive mode, regardless if the ""parent process id"" is passed or not.\r\nAlso make sure that commands that are not supported in ""named pipes"" mode throw exceptions PROPERLY.'"
405225218,8619,b'RavenDB-12764 fix failing test RevertResolvedConflictByRemoteToOriginal',b''
405193266,8618,"b""RavenDB-12746 Let's make sure that a reason of marking an index as er\xe2\x80\xa6""",b'\xe2\x80\xa6rored is logged.'
405144721,8617,b'RavenDB-12790 Lazy query should throw IndexDoesNotExistException if i\xe2\x80\xa6',"b""\xe2\x80\xa6ndex doesn't exist instead of NRE"""
405144692,8616,b'RavenDB-12790 Lazy query should throw IndexDoesNotExistException if i\xe2\x80\xa6',"b""\xe2\x80\xa6ndex doesn't exist instead of NRE"""
405135205,8615,b'4.1 to 4.2 merge',b''
404806411,8614,b'RavenDB-12725',"b""- added an option allowing to ignore missing journals on startup\r\n- this _doesn't_ port: https://github.com/ravendb/ravendb/pull/8609/commits/0dc531a6b37ed732b35cdd61e6e3a76210db0053 - this isn't mandatory to work properly"""
404787031,8613,b'RavenDB-12756 add Delete hub/sink tests',b''
404784568,8612,b'RavenDB-12421 unbounded compaction in 32-bit mode could sometime cras\xe2\x80\xa6',b'\xe2\x80\xa6h the storage'
404781601,8611,b'RavenDB-12421 unbounded compaction in 32-bit mode could sometime cras\xe2\x80\xa6',b'\xe2\x80\xa6h the storage'
404747146,8610,b'Raven-DB 12788 Error in delete counter replication',b''
404737150,8609,b'RavenDB-12725',b'- added an option allowing to ignore missing journals on startup \r\n- set JournalApplicator._lastFlushed after the recovery and suggest syncing an environment'
404719204,8608,b'RavenDB-12726 update rainbow in menu',b''
404710472,8607,b'RavenDB-12774 handle topologychanged message in changes api',b''
404694822,8606,b'RavenDB-10554 - fix typo in traffic watch',b''
404684366,8605,b'RavenDB-12785 NRE when defining Output Collection on JS index',b''
404666682,8604,b'RavenDB-12453 A query in the studio fails silently if the param eval \xe2\x80\xa6',b'\xe2\x80\xa6fails'
404659572,8603,"b'RavenDB-12320 When smuggler imports revisions w/o documents, it creat\xe2\x80\xa6'",b'\xe2\x80\xa6es orphans'
404653182,8602,"b'RavenDB-8351 One node, voting in progress when passive'",b''
404652374,8601,"b'RavenDB-8351 One node, voting in progress when passive'",b''
404642263,8600,b'RavenDB-12742 - Update of big value in same tx fails',b''
404494210,8599,b'RavenDB-12780 - NRE when accessing Id of a loaded document in an index',b'https://issues.hibernatingrhinos.com/issue/RavenDB-12780'
404475217,8598,b'RavenDB-12780 NRE when accessing Id of a loaded document in an index',b''
404437505,8597,b'RavenDB-12755 Replication stats - introduce pull replication',b''
404420217,8596,b'RavenDB-12753 Check for uniqueness of connection string name',b''
404419822,8595,b'RavenDB-7893 Ongoing tasks in case of failure',b''
404385907,8594,"b""RavenDB-12776 - Failed to digest change of type 'RecordChanged' for database 'a'""",b'https://issues.hibernatingrhinos.com/issue/RavenDB-12776'
