issue_no,found_id,is_issue,is_pull_request
11392,2,True,False
468,705,False,True
378,379,True,True
492,2160,False,True
640,641,True,True
733,730,False,True
3344,13395,False,False
3610,3654,False,True
5597,5599,False,True
7514,3,True,False
7514,4,True,False
8422,8502,True,True
8502,8552,True,True
10508,10610,False,True
