group,elements
0,154,fa7e6172d5f08ccdd302a5d56935c2bc836b2f5e,979aee4b8f3b05c9d6c2f6cb1301db0344aff47c,2ecc8da95c4e4ffa92f3b82eb9e0c9a191ea232b
1,153,b7eeaf1998a30d28ff9be0dc347472b1e623e77c
2,311,02fd2cb4012f3e32fad71f77fe69a459eb3816f5,c7c9bba598d475a30710528e65ef40c17094b01e,97b4c81746203a8a258918c2b151b18f2e08dda8,ffd63e9d1c8da0d28b3e6ee5488241316b089fd8,8554679fd30fce6eb42422d105fe76120abd3db8,9e645afd20d40cad219d7a952e9b801d8351a032,6be643ab3addd213b6abbc1fb060cac5aac598ed,ee91c9ae8ccddcef0c1361c1f9c0b5a255718db0,04c6cd53c1a4a163c60c6a58b2f02c91ab210300,597e31676d9a94d831673ddb8a16c16307b97a03,2e8bc5179395a7ae25fe33069d3c2e3e6096f655,30e6dda42386c15ae6f43aa2b8f9800f55bcc9da,bc43b4ecbd6312df0c29e1b7d263871b567d9864,84ba0e11cd61f9d318cb35a72935903d7410d841,d78d18fe8fbd0b92df0ed3699fb49a5f7df9bfe1,63801738ccf738429e49d14899a3ea0a27fb5afa,f6837f66b30a07f2fd6cfe95e1fbda2b459be7b4,d9c6d0651516d3405fe197d8d9f3494f15d387b7,fce3710cab68505f8645ef89922b59b1eef8d306,f054e9fab1bedfad4fa924d27aea3b3b3bf64ee5,19aef6c37a421ff43c7b74e084b17ae09581c7a3,ee9613e376e03ea0900fd4c5278c7812765c47a2,1afc73d9e86c60616cd6038f42bf134d0981f80f,a8da0a2a3a29f76acf7ce2723a6c7ee39105d898,53952ce6688c60783569ff5ce2d42ce14764bc1a,333b0c2b4ce125c4a44383991396c36eccf703d4,2bd28db5174bae88e1df133c19603b2370a42635,27c85e634242cc8b353df0ea2b727f7e7f5329b8,519bf96462fbc4bcc6b9ada87465051a6fceda42,88bee3b5b4035f70df9538457bd4fc523784d1f7,36449c230a2d7a9eaf87076d74b0f8f02ff7f8dc,30f8ed973a867a538da68eb983cf6586387a596a,04609892f93fa64dc09192d0a2199a915cdc011f,f9eefed74f079f2d641e25f6c572563e1376cf0f,2da8a7e6c7e386ab431531ab93b015e4a74c32b3,a1c911ec669a1f49271c0abfba4f829661377248,852a65cf300fa86a6ec69ee61f63b1841333bddf,17f4a108e1368fd7e8cc8894597649b8d73cb56d,d3dd3f15a3647d92ff77e05832b4c7508a357f5b,109d36acbcbe83656b4c6ce51ec1b49c99b136ea,01d401d1163c50b0ab50545589ab6c46b8e367bc,ebee553b546033199f2025eed9267adf8314373a,279d32b7a0a5b8f61fcb74c862a589440a636ef3,e197c85d59a5e13b04c6ce02aa5fa6db25aa300b,67f1d5e72a862de7a8a569bf24648a31e896a909,3b30ed5ad4c7dbec8c74e53618b80fe3461ab0a7,2c20e018f1b6f5226b6f6371ef3a5ea30a87eab6,aff130b315ff11903c356c6847642b40f92d5a44,9a22ffdf3480b94a592ce9b6d9e3f4fe020a1309,8bcb647591b660e2592de4f636b620132bea4cba,120fbc62d94ecb498d786124e0c30354f32e9b54,84c29e7688f82616b33dfba1f91b4d2bf9e8b1ff,8fc7849ebd9b394afa2881ea0639425ec11a68aa,6bb0415c2c8c37ed3e4632b7596360f5c82b2925,b0dc3791412f1907111574575cca10137b4740e1,c340804d042225e1b72df73daaf7b3e0f93741bc,bead6d6d04b323996ae22097cc6d007662ebc915,a708123b436c8596933909aead1d0d66d65027ce,33200797e8ae5c896e4f142539c377434100ee71,0436e69b3e3b4b6d180c3dfe5bb2d3caf6aa53ca,b4ea19b01c3ce1026a4bbef892b345efeca0a02d,2032736771e373df4c4286ecb5982beef6004786,a89434196cc2432d2e2822442606fec96c878f35,1158d53d4bf545c2a71ebb9beb51b8fff6a5996f,bea99d0e7c2c55bfd0045c04c9384c23b0859101,8e356055f04b9f63a43428e3b6a868712b843627,8cf6d8055656b0ad9e319e211611a83c12c51f9a,ccc285c396ef8b26e1b1b379a6219ad5e9f5a634,f511457cfa36f579dd51dec194e8a441e019e031,c82dc733d729eec98807e1a7cc48f88e65f58418,411ad77d6ac2f4745f831dc8414588e01585df86,5891af26fbc86eef38d07c4073a6385eb3954327,2a160c2ba5c42ce6012902146f4706872e6ff7b2,dc93f69d8a666b19ffaeae063082c8793f189afd,022c186c9f5fc5cd978c9fa931e85c56a79df043,dc645a87b287b4c0c6a5cd62195eb279794760f3,6a93ef19513cb694349b3c63dcdf3bbe2a783efa,56514c6e351f60ff1143816062ba4090c15bb10f,0b57462d07f384724647b9a9178ac808b7ae1e39,d373e215536eb8b50794fc83b586ce940776853d,43bf600d7944d7f579635be5d886933c7a18d459,3a0dcf678495dac196bcd11053bc3546cfbd5d02,a23a443c087a4424e3a61e7c4449f4958be7891f,e0fbc0f198fea8caab3b18f690177871e90eb99b,2d90e17457c171e78a945f3cc24856fe41d39299,373dfa38d6013a88ad23a1e0ab6666aaa7405cbc,8778243dbe7369d6eb0fa90fe6369ee5bb31ab45,d66a71cfe861dcdd192c596cbcfd7e01f9e59181,0d70f5c740df9b1ee34722ef39312011d45b726f,4cad07d4627d8952cda1ef3c7a27dd04570de800,4f0abf7919a9604e3b625a14533c433c5722bf0f,3f446c8d46de482194528a5d800e896b99df0e11,65e5e01a7d9db55b45ee2db2dd0d6440537c05f8,831a51e2054abc07a34e64fe2dad6ab1c716b40f,a41f3c8be21f26154a51b606f203a76573853029,d049db9bd604fc22d1309f8c1f8fc12cb19e5b06,42d21ff48bd6c7b70a2d02fb1d6b4f7ae1c71e1d,beff59978601ea0aca42abbf7ad6fb6f6e8470d4,202d992e74f4d6c77b2653be342bb61dfb5b5c0c,ea3eae661abb6575abe3e99fc0760425e18e9340,d1dc7aac046668585d1806901095f494a8967138,18b4c2fb9cb8bb06e892e3e2f254a5adbb9d23cf,18d77a4a4d5d9f3e3d996f7dce12e7f9c4934dac,2c38f83ab7f9973235c9ae48694a28f84ce57b55,22dee954e52700d27a407791fb07d8071a86989a,e4a5945ae49e66d7e2c67d748e4646699dc0ec8a,9acae6805c2383b681c2f5865048354973af08eb,c6210a88e072bb536d15938d4d3b815290541b3b,ebb0439ffeda9d6afd8bddb9b5dd23b2af421d5e,794d97104e67715c5aebbc6b2e76d1bf67ef9454,f5f5d3dea9ded3092e6083ac1af237df4eba5f00,139ccd1050186215975e4fb86d4141a14a6dcc97,b8bdfdffae4c90ba04acca2a447c617ae98c9824,bd4a86f1b8d120bf3da4380a07a6d22d7e73f620,5bfcb51ae37ec69a0c210b5ea19353186f2f9ea1,66cfdf98db60975a1f2006dc47058ca858e93c27,59a48fd624b08e12efff42744a2842057f9a3bbd,1c1cbe16485ecf84bed3386e1c0ec1c30c0a2293,55b42840647088c7f4c8dee87c5beddc82e4094f,5bb95ec514f4bf61387c341ae76a5514965abed7,453874999a5264836a09f1592fe4f34a4d87611f,a64baf829a815ed75c979ad66026faec65fdc77b,6e13d23b0bd66f250ce2e66b19e00cbadcdd4ba9,3493999479e5e7d60835b081ac584cc65d02d173,966d5271facd3a7b0551ecc825385b94eb442f17,68851307e37c37bbb76ed551ced905830aa92a9f,a3c9e42b1a64a619c74433ab43c37abe8f4490c1,296e0981520f876cf162f98c9e0872662a435034,1b77612a705b437d6af80f272740765bb872eec6,bff9a822dd728755bb7b94911536d7e3f4ed5f5c,8d4c777aa819351e189a533b340f8e654e0623c5,2cf48a4a2e6bd516f65fdb6aca74a6b22ae58543,ba9ecdc7e815545c26f6255fee6c927e51df7a00,7b64080e0013a5b2844f472b128800f9589b4b94,21cb334ac7bab29877f463b49052a363c6762c72,42cf799cf17c8c7b34851663e1c2380c9913cba4,2755d7845265e49554abc30ba23cdd4e509bdda2,ee16b6fb739dc7bccdc17f06a75bee221b4d72d7,c76155678905c06e7e4a5a448b4e243023312e83,05db05d8ce3a8c32ef363930304ec97b1a3457b6,e6bbe87ae3249c1b5ba86f5b4523f74a0fda86da,c81754140573ec17a02a7fec61a7ebc79a6cab24,d30ea69b2f10ab40cc69cf3de9c8e878e0eac685,2f28c1f2a1ee76166011d183c35fc569533677d6,10b9d14ea165dbe82124a8e7e544e8b937ffd36a,26f77c779bd0038f5c821c3a5d779f81f46436ce,43d0271c2fde64e2b725e0e894b576cb003aba75,ea089dacefce6d8f08631076cf677286129a24c7,14b6ccfa3efb11c2839549b0cea73236ff86dc3a,209239bbed9f70ec32ebe5af10d59198c7abc451,314117b8689074939e165859e3eccd134a0b8d8e,a6fd8fb2d9410ec0c1b1851c2532f78dca76ca8e,00a16e9799853b16e254726cc9929abbb089ae5d,3e4b18170944d3b6884554e2ec97dcc7e89056ce,02f416eb91392d116d14a45e050f8beab3d71cce,9a1b200431dbe534edff792d660cb030c31c0a35,82fd2ff7c1e1a2e6dd9443a796dbc36ab66eebc8,aac21577861566aa1fc892f0c65aed234d2d09df,94b3e578c51e9d1f02444efee9642bff0db88b29,1ce3ae1fc2f3272a941b944e45e250a0f29cfc88,2ed2a864c3e8ec6da729d7ef648e265828224768,5210ab27c0b85b80cbd58d84ced5db3fdf8db7ca,249087b5c47603e19e2da938206cae8598c8d4e7,5cdc0d28f78b25b4329393a4006a3d890545e65a,b5c5064dccea6152b1beaa2256d6a7b7b346db71,81709579703d76d3b0920244d30a8d00f5dc4633,007e98bbfb40dde83a492538a427ff66e108fd00,5deb5dd3939d7fe5e8c7f586fd94b291b906f166,bcd4930db77f55c8e4ce7862e8916a8bead9b47d,bc924243799c24a7ab2ba0c932fa3c4992fc180a,64f11885d56d40153bacaf31a5a4cfafe4e22c7c,a171b9ce1c7002d7a05c47a4617af20e5f1c258d,708c51a11cebd37095af323ca8a093365e6e25d0,5483eedd31da21513b3947b19e3b90b02a7862e5,d533a12c438d46903a98659142d21b35a2e8bed4,52bc3d921685018d8ff3542165b67423fb073488,509df22bebcc2af219146240954aecaf6822b695,e97c3694a36970e4b4a977dade63b4bd7f0d295c,058847848d77e62b12db24e48ee35ba097f37305,42cd5288277810c7029f14a4071da4df90eab517,2530ae8e1058179dcbc4cdeb75a4d6a6637224c2,4419f6846a431c24d4252c849ce5ef9f82ea7bbd,a27da8bb85805159541193854b4a2269aab93ed9,2cce95028a2d544cf786bd84001fd7cc112b85e1,515da6de41bfd2f3895fe55a83be9431888b1d52,25b313524f70fff10abbe95f63bea03d8a7ac1a7,e9c759adc5edee28735cd9eb7123fcbf03dd465f,e96baeebe87e631f1d46be7cd8e88655ed198821,890ea33a7c8117bf24ce165eced845d7e39c2a0a,40711b9d2775081643235f52fed32800235150af,a69a905f7a267f857980ac4eb0b48fff9c52aeee,545c699c27c2a75449430de69af680022841f6f5,5344f50502d6ef3a0993ba3e63f5bca50604ff58,894d1bb627d5a0aa6e07e1de556f608eb7e5b327,4a8e91702832a27bf56dff49df1932ff74ab31be,93b344de2e97c10523639c99c053272ba39d8774,b29f125f1e58f9253dea3b7785551959723eb7e5,ced7dba9cad78d23ce8aad47472c883efff8ddc2,451de1d124333ddcf98460f80ff63a8d4c0334d0,cf649ebc468693a7fd55ad348a37feaf76f5aa2c,9ce35088ce55c310d6ad0dc21a8e4b921bc116a5,4448c87c1aa1f1ec09a0e2faf2035a68a3b121e0,967e1e9c0f0effa8ab272cc71f690890efd90f69,1ddaa9bbf1f1a96c7affa712ab7a71f264471d5a,e6464cb05d4a446ccb561ccc268cf92f749bab7a,1a75de27c9795a3133f9012f8086f35b6d14dc22,aee07c635fa85e68a5e2f2564ab6dfe96de5f8e6,6e7ca717445c0d87868b0d502a0b2e737a663113,7769ce001742ba7b391dda91021e077e2546efbe,894cdd148722c503eb477778ea8ecf0c9e067360,32fcd17a37ff8c98dd49f31a40daaa97fc6ce37b,58e0e3ae43222a6271a096f0f662874ec81cdb4f,f4993da93784bee9951899d1472cb3175553002a,d4c0bbe293ffce88c52a22a77e7f7fc7bf6a18b1,597630c8f009abbd2cf34a6d101023dbd3c21b40,6508bb82a23797e4382bb8dd5b7805fb86ebbd2b,3d0e357a48d1bef6a5f959e5192857501a133511,845a5dddf3a9a9d132ced51cf9d044e4ea2d7852,8eb6a0adfaf2e458a3523f955084f5068ca4ad9b,555a4a60f3305edc7964658dceb4e30004c9b750,84dd369ed86fed4518c123847a4e657d754e5bc6,9b198b5332ea91f32a664cc12758c8280b1e76b8,e3be3947135cb6a19d66a393a81c8e1c5a324003,963a3208b543a7f27aaa6332aaac1ed96e59b972,8fba7a4277b92d55145cd5ed292ee6e9558173aa,4d98996c5c477dc58c669677a51df8f63371ab5d,914457538bd66508389918aaa5ee40a449276840,6b2a8ed1b029af2989c665f641978926bf239c8b,55aa5de7dbed202012e139e3808898bde7619c8e,9ba4542a4325b5250586150dc6071f642598a171,c88c9e4b58fe2a2abe499868efd056451fefd08f,b8931a62adeb25d643666815f393934c3155e0ea,0701bab45bdc90bda92652853b1e35e4fc49319d,89436d0bfba06378959e4c0b20554f6d5ac0b711,a6ff613df149be86c47da07924158ec2e4e4eb6e,d8b17695973d7c64c54c3acf68a7eace298749f8
3,350,359e3cfb57920b068f1db6465fca6e186ac8ff55,53543a03800950856ae564ccd3963066a1ad2a12,45b830dd99e61d9a6e033276345eee9563ef8b36,5da1c0a4a0cbf473d964a1403c2daf612f404eb8,90be22d0c0fc0e8e871d777752168ef17372b79c,6c4801f26a200cafe1a29c04783d1231abee56c6,e7cbce2ad5c5d6d3a04bbda4f62e64c9868cbb1b,8e14194caf2b5f6dbf80086def8999662840aa80,984a68d00563939314fabf5d2afae0c7dfaebf87,9e800ac73143f81dc2b363477c44a769d68c22db,62b83ee465fdebe3402965271e2df80fea2f83e0,8f285b15414a8f1719af6e1e1683d057c9653cbb,328e64aeacaae2081034893c95379c314c1b2c8d,29495546962a0b1aa75bd7b8c0d44f21e0d1591f,e7b731b91e1af58abb93ecb96f4ea5720e1e4757,0cbed7f8d2afa5d8a9cfe8068379bea381bafd78,475c6b38444c6027348f53a5e4b175733e2b2da1,b8bc9ea4451a4f0cb8bc2b756030a3b39512c955,ac9a978be015f609601eea5e440bf7f36b5f4035,0fabc51cedd712f5ff3f1c29427090c68899e85b,4c8e41fbc659edb3eb634e39fff15443c78fed63,0a2c21ac64b1830086ad2c9804e7183548424003,fe011d18af664aa5c1c55e9f1c9d8d8bf625312e,30254dff264712e44fb0f85e33f9cc3149182337,10f889064dc62b6a1eadfd1b8a35b9d4e09b3483,b933b902263558c14bf275021a5200c094d8c6c4,503b8ab23a7da5d85fbbf5606b7c9c39ed4d4996,9b2689086e142e2e4602e8c55c6a4f4089007efc,394ca895c5b21f1d335e3cd7cdb836474581ab4c,a8cb0f0562b773945342d180857581059516e9ae,12ea956d6096788ea87675221a82da8d3f9dedac,273fde4fbd03cab6f5ee9e768f18646b8548cd00,56e7062a6ae7eef77deb5195711165f9c12153b5,11c11231680f0f9797d6322814c9acf1ae6b08b7,93d7599518093f60d6b57101251736c1707b41cb
4,351,a5548aff1645d898c2fbe4c1f24afda235fd7d2c
5,357,d8c8695b701422e7fdf66d1df6e4e6f597594769,f2830699f0820ae4733f162ef904167457ecdb8b
6,358,228ac177ea5ca701ca5701953939a4730e62a084
7,367,a3ecc54680d91990a2b67137f62dfcf44c11665b,fe5b572395e37babf8ad1f103b5e3248cb8fbf0d,6591124b30b6fffd5a3a81e849298938ab6d07d9,66af8ddebd24b32db7fe9626e669aa00b5c9eae3,ef9d1438c0b42fdf29dc1cd03a5f9d3332f3298b,749bf0187b55dc6323d46cbe78a04db99d17abd8,13c9cd9efe90220f80f9d331dd948d8f382c41aa,526ed1b306e90b3ecdfd4c1f60501d9f024af65d,7c21414678d1b0db0ab17ffd05ab081244ffcecd,1a8258fa49f980f6c0757da6b7c0540161dfbec6,5cb028f6ce00142641b49d56a22dccca397314cb,0aac96699e80ff3b9342ec6db9212c0edbd1cb47,46cdbc1993c5614e2a5461eacf69b7a3049d0ebd,04f67c0468e9cc104213863113a58377611be999,addd1f285e9013a44f81aa2bf108b306531a109f,6dbdd5da33e9b5cd7b04b5ee8b58410d78a5ea51,178bda53bdf05c1f88ac66a7bc1abd82c93f8ff5,beaabe217198a4d399974fc873a96b7bbd99915c,3f9ca4a734a77880d2efca919383673079b1830a,2d0de61a9a5db0cfebf766368d9b16d98aca569a,af8e7b787086430fd0495df23807209ea75e649d,e493a3f68d0e9763aabc3bbb93e3022e61747d26
8,363,9a780013f7e00c76d3d3f71d6f38d7f7afb7b99f
9,440,faf9bf279e0405a925b39d046d1488aee1c0eb2c,6154fecef6c9ce72efabb3b31af14736d92ab28f
10,444,11425e3c7324a353829930aedd3a5105f19c3eca
