group,oldest_pull,pulls_total,commits_total
383,1143,1,1
384,1148,1,16
385,1145,1,1
386,1144,1,1
387,1146,1,3
388,1147,1,1
389,1149,1,1
390,1159,1,2
391,1162,1,1
392,1161,1,1
393,1163,1,1
394,1164,1,3
395,1165,1,1
396,1166,1,4
397,1168,1,1
398,1167,1,1
399,1171,1,1
400,1172,1,2
401,1187,1,6
402,1173,1,1
403,1174,1,1
404,1175,1,1
405,1176,1,1
406,1177,1,1
407,1178,1,1
408,1180,1,1
409,1179,1,1
410,1181,1,1
411,1183,1,3
412,1182,1,1
413,1184,1,1
414,1185,1,1
415,1189,1,3
416,1188,1,1
417,1191,1,3
418,1192,1,1
419,1195,1,2
420,1194,1,2
421,1196,1,4
422,1197,1,6
423,1198,1,1
424,1199,1,1
425,1200,1,1
426,1204,1,4
427,1203,1,2
428,1205,1,3
429,1206,1,3
430,1237,1,7
431,1207,1,1
432,1208,1,1
433,1209,1,1
434,1210,1,1
435,1211,1,1
436,1214,1,3
437,1221,1,2
438,1218,1,3
439,1217,1,1
440,1222,1,1
441,1248,1,6
442,1226,1,1
443,1224,1,1
444,1220,1,2
445,1223,1,2
446,1227,1,4
447,1228,1,1
448,1229,1,1
449,1235,1,2
450,1232,1,1
451,1238,1,3
452,1242,1,1
453,1240,1,2
454,1241,1,1
455,1243,1,1
456,1244,1,1
457,1247,1,3
458,1249,1,1
459,1253,1,5
460,1254,1,2
461,1255,1,1
462,1260,1,1
463,1270,1,15
464,1261,1,1
465,1263,1,1
466,1262,1,1
467,1257,1,1
468,1264,1,2
469,1256,1,1
470,1267,1,1
471,1269,1,1
472,1268,1,1
473,1275,1,1
474,1274,1,1
475,1273,1,1
476,1271,1,3
477,1277,1,1
478,1279,1,5
479,1278,1,1
480,1281,1,1
481,1282,1,1
482,1284,1,1
483,1288,1,1
484,1285,1,1
485,1287,1,1
486,1289,1,1
487,1290,1,1
488,1291,1,1
489,1295,1,4
490,1292,1,1
491,1293,1,1
492,1294,1,3
493,1298,1,3
494,1299,1,3
495,1300,1,1
496,1304,1,1
497,1302,1,1
498,1303,1,1
499,1306,1,1
500,1308,1,1
501,1311,1,1
502,1312,1,1
503,1313,1,1
504,1314,1,1
505,1316,1,1
506,1318,1,1
507,1320,1,1
508,1321,1,1
509,1323,1,1
510,1324,1,1
511,1325,1,1
512,1327,1,2
513,1326,1,1
514,1331,1,3
515,1329,1,1
516,1332,1,2
517,1330,1,1
518,1333,1,1
519,1334,1,1
520,1335,1,1
521,1336,1,1
522,1341,1,2
523,1339,1,4
524,1338,1,1
525,1345,1,1
526,1346,1,3
527,1349,1,3
528,1348,1,1
529,1351,1,1
530,1350,1,1
531,1353,1,1
532,1352,1,1
533,1356,1,2
534,1361,1,1
535,1359,1,1
536,1360,1,1
537,1357,1,2
538,1358,1,2
539,1362,1,5
540,1363,1,1
541,1364,1,1
542,1365,1,4
543,1366,1,1
544,1367,1,1
545,1372,1,4
546,1373,1,1
547,1376,1,2
548,1369,1,5
549,1374,1,1
550,1377,1,1
551,1380,1,1
552,1379,1,1
553,1378,1,1
554,1381,1,1
555,1382,1,3
556,1383,1,2
557,1384,1,14
558,1385,1,1
559,1386,1,1
560,1387,1,1
561,1389,1,1
562,1390,1,2
563,1388,1,2
564,1391,1,3
565,1400,1,5
566,1393,1,1
567,1394,1,1
568,1395,1,2
569,1397,1,2
570,1402,1,4
571,1401,1,1
572,1403,1,3
573,1407,1,1
574,1404,1,4
575,1408,1,1
576,1409,1,3
577,1410,1,1
578,1416,1,3
579,1415,1,3
580,1411,1,2
581,1417,1,1
582,1418,1,1
583,1421,1,1
584,1422,1,4
585,1423,1,3
586,1425,1,2
587,1424,1,1
588,1426,1,1
589,1427,1,3
590,1429,1,1
591,1430,1,1
592,1431,1,1
593,1432,1,2
594,1433,1,2
595,1434,1,1
596,1440,1,4
597,1435,1,1
598,1447,1,7
599,1437,1,3
600,1513,1,2
601,1441,1,1
602,1454,1,5
603,1443,1,1
604,1444,1,1
605,1449,1,1
606,1446,1,1
607,1453,1,1
608,1452,1,2
609,1455,1,1
610,1456,1,1
611,1457,1,1
612,1459,1,1
613,1461,1,5
614,1460,1,4
615,1463,1,1
616,1467,1,1
617,1466,1,1
618,1470,1,36
619,1468,1,1
620,1469,1,1
621,1471,1,2
622,1472,1,3
623,1473,1,2
624,1488,1,4
625,1475,1,2
626,1474,1,1
627,1476,1,1
628,1479,1,1
629,1480,1,1
630,1483,1,3
631,1482,1,2
632,1478,1,1
633,1484,1,1
634,1485,1,2
635,1486,1,1
636,1487,1,1
637,1489,1,2
638,1491,1,1
639,1492,1,2
640,1493,1,1
641,1497,1,6
642,1495,1,1
643,1498,1,1
644,1501,1,2
645,1503,1,9
646,1502,1,1
647,1505,1,1
648,1506,1,1
649,1507,1,1
650,1508,1,1
651,1509,1,1
652,1510,1,1
653,1514,1,5
654,1518,1,1
655,1517,1,1
656,1519,1,1
657,1521,1,1
658,1520,1,1
659,1522,1,1
660,1523,1,1
661,1525,1,2
662,1524,1,1
663,1526,1,6
664,1527,1,1
665,1528,1,3
666,1529,1,2
667,1534,1,2
668,1530,1,1
669,1536,1,1
670,1538,1,3
671,1537,1,4
672,1542,1,1
673,1544,1,1
674,1545,1,1
675,1547,1,1
676,1549,1,1
677,1563,1,3
678,1554,1,2
679,1559,1,2
680,1561,1,1
681,1569,1,4
682,1548,1,1
683,1557,1,1
684,1555,1,1
685,1564,1,4
686,1550,1,1
687,1556,1,1
688,1565,1,3
