issue_no,actor,event,event_id,created_at
10141,ppekrol,closed,3087710161,2020-03-02 12:19:28
10141,aviviadi,assigned,3005560487,2020-02-04 10:39:08
10044,ppekrol,closed,2969828499,2020-01-22 12:18:16
10091,ayende,closed,2969016812,2020-01-22 07:55:30
10044,awyl,subscribed,2967878408,2020-01-21 21:42:16
10044,awyl,mentioned,2967878406,2020-01-21 21:42:15
10044,awyl,subscribed,2967360324,2020-01-21 18:50:07
10044,awyl,mentioned,2967360321,2020-01-21 18:50:07
10044,ppekrol,reopened,2967360314,2020-01-21 18:50:07
10044,ppekrol,closed,2938950271,2020-01-10 15:44:44
