issue_no,found_id,is_issue,is_pull_request
34510,34465,True,False
34490,34582,True,False
34391,91021,False,False
34380,91021,False,False
34303,34302,True,False
34279,34261,False,True
34222,34045,True,False
34222,34199,False,True
34122,31001,True,False
34109,12875,True,False
34108,33716,False,True
34108,12,False,True
34096,99,True,False
34033,11010,True,False
33978,33947,True,False
33973,0,False,False
33930,33820,True,True
33904,33901,False,True
33897,33895,True,False
33862,988,True,False
33861,988,True,False
33802,31354,True,False
33769,2812,True,False
33744,33874,True,True
33707,33308,True,False
33658,32969,False,True
33564,33528,True,False
33558,33560,False,True
33558,34444,False,True
33558,34331,False,True
33529,33517,False,True
33496,33308,True,False
33440,29588,True,False
33418,861,True,False
33418,921,True,False
33418,938,True,False
33418,43933,True,False
33404,33271,True,False
33328,34940,True,True
33311,37119,True,False
33308,35033,True,False
33308,35034,True,False
33308,39507,False,True
33308,39509,False,True
33308,41097,True,True
33308,35033,True,False
33308,35034,True,False
33308,41292,True,False
33308,35033,True,False
33283,7,False,True
33258,33176,True,True
33257,33176,True,True
33256,33176,True,True
33165,33128,True,False
33084,31904,False,True
33084,2346,True,True
33010,32764,True,False
32991,31701,True,True
32980,2222,True,False
32965,32429,True,False
32951,32379,True,False
32920,32541,False,True
32918,32881,True,True
32898,32881,True,True
32855,26716,True,False
32851,32769,True,False
32816,31716,False,True
32756,32322,False,True
32756,32579,False,True
32708,12566,True,False
32708,5717,True,False
32536,32429,True,False
32439,12,False,True
32439,1,False,True
32433,2087,False,True
32415,32414,True,False
32396,8890,True,False
32376,36282,True,False
32363,32371,True,True
32285,16001,True,False
32285,16001,True,False
32285,5147,True,False
32179,18090,True,False
32147,2259,False,True
32125,32917,False,True
32118,32100,True,False
32020,2087,False,True
31900,13309,True,False
31797,2087,False,True
31792,2087,False,True
31743,521,True,False
31732,2256,True,True
31712,35199,True,False
31712,35547,True,True
31657,2087,False,True
31656,2087,False,True
31650,2087,False,True
31649,2087,False,True
31514,35880,True,False
31425,40677,True,False
31399,17710,True,False
31356,20191030,False,False
31340,20191029,False,False
31326,41089,True,False
31326,41089,True,False
31324,24790,True,False
31312,1569,True,False
31287,3404,True,False
31279,17693,True,False
31271,1433,True,True
31241,2270,True,False
31197,01020304,False,False
31184,27292,True,False
31146,41555,True,False
31112,317,False,True
31081,37113,False,True
31056,26188,True,False
31006,33360,True,False
31001,8,True,False
30984,14512,True,False
30950,30716,True,False
30867,338,False,True
30842,41048,False,True
30833,30797,True,False
30833,30196,True,False
30833,30532,True,False
30807,30779,True,False
30788,27971,True,False
30772,30645,True,False
30769,40365,True,True
30724,41936,False,True
30662,30295,True,False
30662,30488,True,False
30662,39882,False,True
30661,31001,True,False
30642,1,False,True
30597,28273,True,False
30582,23080,True,False
30572,13093,True,False
30571,40268,False,True
30514,10627,True,False
30499,29413,True,False
30447,14239,True,False
30428,29703,True,False
30412,1408,True,False
30411,1488,True,False
30331,17590,True,False
30325,3333,True,False
30323,8,True,False
30315,62601592,False,False
30276,27764,True,False
30215,39343,True,False
30212,11305,True,False
30119,19382,True,False
30109,39938,True,False
30093,29743,True,False
30079,30038,True,False
30078,30038,True,False
30072,30038,True,False
30039,30038,True,False
30023,30017,True,False
30017,38872,True,False
29989,38226,True,False
29979,37486,False,True
29854,29039,True,False
29776,3,False,False
29725,3,False,False
29717,29405,True,False
29709,29561,True,False
29700,37906,False,True
29691,1,False,True
29662,753,True,False
29644,29492,True,False
29609,29273,True,False
29599,23509,True,False
29580,29521,True,False
29571,1782,True,False
29571,1783,True,False
29561,1167,True,False
29545,35133,True,False
29490,37545,True,False
29479,29357,True,False
29440,41007,True,False
29410,29307,True,False
29410,28843,True,False
29399,3185,True,False
29388,29373,True,False
29358,15290,True,False
29327,27274,True,False
29327,32046,True,False
29251,29209,True,False
29232,2,False,True
29171,23761,True,False
29165,29159,True,False
29126,23583,True,False
29084,36502,True,False
29062,28508,True,False
29061,1,False,True
28976,2695,True,False
