pull_no,found_id,is_issue,is_pull_request
43306,43305,True,False
43276,41704,True,False
43256,43255,True,False
43213,41704,True,False
43212,42850,False,True
43205,43341,True,False
43178,43056,True,False
43146,43127,False,True
43130,41779,True,False
43124,43123,True,False
43122,41760,True,False
43103,43091,True,False
43102,43060,False,True
43100,43095,False,True
43100,43095,False,True
43077,43044,True,False
43077,497,True,True
43072,42801,True,False
43005,38665,True,False
42971,42992,True,False
42962,30998,False,True
42913,31494,True,False
42792,42606,True,False
42769,42465,True,False
42751,41704,True,False
42692,42567,True,False
42681,42669,True,False
42652,42622,False,True
42639,42627,True,False
42536,36264,False,True
42521,20863,True,False
42521,42168,True,False
42521,2160,True,False
42518,42741,True,False
42514,38779,True,False
42506,42546,False,True
42430,359162,False,False
42409,42395,False,True
42373,42451,False,True
42364,42353,True,False
42339,42331,True,False
42328,41704,True,False
42323,41627,False,True
42260,6,True,True
42228,42229,True,False
42227,41704,True,False
42160,42107,True,False
42159,41704,True,False
42135,42128,False,True
42098,12591,True,False
42081,14128,True,False
42076,12631,True,False
42075,10170,True,False
42074,10174,True,False
42073,10220,True,False
42043,42014,True,False
42011,41682,True,False
42011,40326,True,False
42006,41822,True,False
41982,42200,True,False
41982,42200,True,False
41971,41958,True,False
41969,42114,False,True
41969,42114,False,True
41966,39792,False,True
41965,39792,False,True
41943,42029,True,False
41916,41712,False,True
41871,41627,False,True
41867,41806,False,True
41847,38801,True,False
41847,3198,True,True
41847,24135,True,False
41775,41363,False,True
41775,41462,True,False
41767,40981,True,False
41767,40981,True,False
41762,41752,False,True
41753,462,True,False
41726,39417,True,False
41711,41501,True,False
41701,41699,True,False
41697,41502,True,False
41630,41617,True,False
41625,41575,False,True
41597,41631,True,False
41514,41510,False,True
41460,41457,True,False
41452,38513,True,False
41452,38513,True,False
41404,41358,True,False
41403,41402,True,False
41377,40555,True,False
41333,38801,True,False
41219,40622,True,False
41217,41292,False,True
41217,41292,False,True
41209,41250,False,True
41206,41260,True,False
41119,39877,True,False
41102,40776,True,False
41055,41054,True,False
41016,41054,True,False
40985,1713,True,False
40910,30887,True,False
40864,40860,True,False
40840,40510,False,True
40824,36165,True,False
40823,40824,False,True
40815,40044,False,True
40814,38198,True,False
40790,40765,False,True
40770,38198,True,False
40765,40410,False,True
40755,37309,True,False
40755,40821,True,False
40706,38737,True,False
40699,40700,False,True
40699,40700,False,True
40685,40701,False,True
40668,41114,True,False
40662,375,True,False
40604,2460,False,True
40568,40645,True,False
40479,40403,True,False
40418,39892,False,True
40358,41288,False,True
40358,41288,False,True
40358,41288,False,True
40358,41288,False,True
40358,41288,False,True
40358,41288,False,True
40358,41288,False,True
40358,41288,False,True
40358,41288,False,True
40358,41288,False,True
40311,40339,False,True
40274,40206,False,True
40274,39914,False,True
40206,39914,False,True
40165,40043,True,False
40127,39966,True,False
40093,39975,True,False
40091,3001,True,False
40044,40097,False,True
40044,38260,True,False
40017,39664,True,False
39953,39767,True,False
39892,39902,True,False
39798,36717,True,False
39750,37899,True,False
39667,39607,False,True
39655,39653,True,False
39644,39641,True,False
39644,39643,True,False
39639,39587,False,True
39634,39607,False,True
39629,39592,True,False
39609,39548,True,False
39596,39411,True,False
39593,39588,True,False
39590,39420,True,False
39571,39423,True,False
39556,39422,True,False
39543,39042,True,False
39532,39531,True,False
39526,38640,True,False
39525,39315,True,False
39419,39416,True,False
39365,34921,True,False
39365,34921,True,False
39365,34921,True,False
