issue_no,pull_no,actor,created_at,event
48035,48041,cston,2020-09-25 04:45:54,disconnected
48035,48041,cston,2020-09-25 04:45:19,connected
47390,47359,panopticoncentral,2020-09-02 20:42:37,connected
45798,46367,gafter,2020-07-28 00:35:07,connected
46302,46303,gafter,2020-07-24 15:03:12,connected
