group,oldest_pull,pulls_total,commits_total
353,1974,1,1
354,2037,1,1
355,2055,1,73
356,1978,1,1
357,1981,1,3
358,1980,1,7
359,1982,1,1
360,2015,1,2
361,1985,1,1
362,1986,1,3
363,1988,1,3
364,1991,1,5
365,1993,1,1
366,1997,1,1
367,1998,1,1
368,1999,1,1
369,2000,1,3
370,2004,1,1
371,2008,1,1
372,2011,1,2
373,2017,1,6
374,2014,1,1
375,2018,1,3
376,2019,1,1
377,2020,1,1
378,2095,1,4
379,2010,1,1
380,1992,1,1
381,2021,1,2
382,2022,1,1
383,2024,1,1
384,2027,1,2
385,2028,1,2
386,2029,1,2
387,2023,1,1
388,2030,1,1
389,2031,1,1
390,2034,1,4
391,2036,1,1
392,2039,1,1
393,2041,1,3
394,2042,1,1
395,2044,1,2
396,2047,1,1
397,2050,1,1
398,2051,1,3
399,2052,1,5
400,2053,1,1
401,2054,1,1
402,2118,1,73
403,2058,1,2
404,2059,1,2
405,2061,1,1
406,2062,1,1
407,2063,1,8
408,2064,1,1
409,2065,1,1
410,2066,1,1
411,2067,1,1
412,2068,1,1
413,2069,1,1
414,2101,1,10
415,2070,1,1
416,2073,1,1
417,2074,1,2
418,2076,1,1
419,2077,1,1
420,2078,1,1
421,2079,1,2
422,2080,1,1
423,2089,1,4
424,2091,1,1
425,2092,1,1
426,2102,1,9
427,2093,1,3
428,2094,1,1
429,2097,1,6
430,2098,1,3
431,2100,1,1
432,2119,1,2
433,2103,1,1
434,2184,1,9
435,2108,1,2
436,2109,1,3
437,2110,1,4
438,2113,1,1
439,2120,1,1
440,2122,1,1
441,2123,1,1
442,2125,1,2
443,2124,1,2
444,2128,1,9
445,2133,1,1
446,2134,1,1
447,2135,1,10
448,2137,1,1
449,2138,1,1
450,2139,1,11
451,2112,1,1
452,2140,1,1
453,2197,1,27
454,2141,1,2
455,2142,1,1
456,2213,1,44
457,2143,1,104
458,2148,1,1
459,2145,1,7
460,2144,1,1
461,2170,1,10
462,2149,1,2
463,2146,1,1
464,2147,1,1
465,2150,1,1
466,2152,1,2
467,2153,1,3
468,2376,1,58
469,2155,1,3
470,2157,1,1
471,2158,1,2
472,2159,1,2
473,2161,1,3
474,2164,1,8
475,2239,1,5
476,2165,1,1
477,2166,1,1
478,2167,1,2
479,2168,1,5
480,2169,1,2
481,2172,1,2
482,2173,1,1
483,2182,1,64
484,2201,1,4
485,2178,1,1
486,2179,1,1
487,2180,1,6
488,2181,1,1
489,2185,1,1
490,2187,1,7
491,2186,1,1
492,2188,1,1
493,2189,1,6
494,2190,1,6
495,2191,1,2
496,2192,1,8
497,2193,1,1
498,2195,1,1
499,2203,1,16
500,2225,1,16
501,2198,1,8
502,2200,1,1
503,2353,1,18
504,2202,1,1
505,2368,1,9
506,2251,1,4
507,2208,1,6
508,2205,1,1
509,2209,1,1
510,2212,1,1
511,2234,1,36
512,2214,1,1
513,2215,1,2
514,2218,1,3
515,2222,1,3
516,2220,1,2
517,2221,1,1
518,2223,1,13
519,2224,1,1
520,2226,1,1
521,2228,1,3
522,2232,1,1
523,2233,1,2
524,2235,1,1
525,2238,1,3
526,2237,1,1
527,2240,1,3
528,2245,1,1
529,2246,1,1
530,2248,1,1
531,2276,1,5
532,2253,1,2
533,2254,1,5
534,2256,1,1
535,2257,1,2
536,2258,1,1
537,2262,1,1
538,2263,1,3
539,2264,1,3
540,2265,1,1
541,2266,1,1
542,2269,1,1
543,2270,1,1
544,2271,1,2
545,2274,1,2
546,2277,1,6
547,2279,1,3
548,2280,1,1
549,2281,1,1
550,2283,1,1
551,2285,1,7
552,2286,1,1
553,2287,1,6
554,2290,1,2
555,2291,1,2
556,2292,1,1
557,2294,1,4
558,2295,1,4
559,2298,1,2
560,2306,1,5
561,2301,1,1
562,2303,1,3
563,2309,1,2
564,2312,1,1
565,2342,1,3
566,3472,1,116
567,2318,1,5
568,2430,1,13
569,2316,1,1
570,2317,1,1
571,2322,1,5
572,2323,1,1
573,2324,1,1
574,2327,1,2
575,2328,1,2
576,2334,1,1
577,2336,1,1
578,2337,1,1
579,2338,1,1
580,2340,1,1
581,2341,1,4
