group,oldest_pull,pulls_total,commits_total
353,16979,1,1
354,16958,1,1
355,16721,1,1
356,16972,1,1
357,16945,1,2
358,16897,1,1
359,16999,1,1
360,16825,1,1
361,16965,1,1
362,16973,1,1
363,16430,1,1
364,17022,1,2
365,16919,1,1
366,16436,1,1
367,16755,1,1
368,16971,1,1
369,16840,1,1
370,16860,1,1
371,17031,1,3
372,17030,1,1
373,17033,1,1
374,17036,1,1
375,17054,1,1
376,17055,1,1
377,17056,1,1
378,16995,1,1
379,16907,1,1
380,17013,1,1
381,17067,1,1
382,16956,1,1
383,16939,1,1
384,17071,1,2
385,17016,1,1
386,17073,1,1
387,17035,1,1
388,17020,1,1
389,16899,1,1
390,17002,1,1
391,17037,1,1
392,16961,1,1
393,17072,1,1
394,17063,1,1
395,17085,1,1
396,17087,1,3
397,17093,1,1
398,17100,1,1
399,17082,1,1
400,17094,1,1
401,17066,1,1
402,17102,1,1
403,17105,1,3
404,17097,1,1
405,17080,1,1
406,17103,1,1
407,17074,1,1
408,16975,1,1
409,17122,1,1
410,17005,1,1
411,17127,1,2
412,17134,1,1
413,17111,1,1
414,17135,1,1
415,17120,1,1
416,17138,1,1
417,17137,1,1
418,17142,1,1
419,17130,1,1
420,17090,1,1
421,17136,1,1
422,16700,1,1
423,17012,1,1
424,17126,1,1
425,16915,1,1
426,17164,1,2
427,17165,1,1
428,17168,1,1
429,17166,1,1
430,17169,1,1
431,17099,1,1
432,17176,1,1
433,17152,1,1
434,17150,1,1
435,17154,1,1
436,17149,1,1
437,17175,1,1
438,17183,1,1
439,17146,1,1
440,17191,1,6
441,17185,1,1
442,17194,1,1
443,17159,1,1
444,17047,1,1
445,17179,1,1
446,17199,1,1
447,17124,1,1
448,16692,1,1
449,17106,1,1
450,16934,1,1
451,17095,1,1
452,17177,1,1
453,17034,1,1
454,16881,1,1
455,16905,1,5
456,17207,1,1
457,17212,1,1
458,15808,1,1
459,17188,1,3
460,17213,1,3
461,17210,1,1
462,17216,1,1
463,16746,1,1
464,17222,1,1
465,17214,1,1
466,17230,1,1
467,17231,1,1
468,17243,1,1
469,17229,1,1
470,17233,1,1
471,17245,1,1
472,17244,1,1
473,17246,1,1
474,17228,1,1
475,17238,1,1
476,17236,1,1
477,17219,1,1
478,17249,1,1
479,17225,1,1
480,17162,1,1
481,17254,1,1
482,17255,1,1
483,17263,1,1
484,17251,1,1
485,17227,1,1
486,17262,1,1
487,17260,1,2
488,17226,1,1
489,17272,1,1
490,17279,1,2
491,17280,1,1
492,17275,1,1
493,17131,1,1
494,17261,1,1
495,17160,1,1
496,16855,1,1
497,17294,1,1
498,17297,1,1
499,17313,1,1
500,17259,1,4
501,17305,1,1
502,17312,1,1
503,17266,1,1
504,17299,1,10
505,17318,1,1
506,17320,1,1
507,17232,1,5
508,17319,1,1
509,17307,1,1
510,17331,1,1
511,17336,1,1
512,17315,1,1
513,17338,1,1
514,17340,1,1
515,17328,1,1
516,16816,1,1
517,17344,1,1
518,17330,1,1
519,17302,1,1
520,17326,1,1
521,16982,1,1
522,17321,1,1
523,17349,1,1
524,17352,1,1
525,17237,1,1
526,17361,1,1
527,17346,1,1
528,17348,1,1
529,17366,1,1
530,17358,1,1
531,17347,1,1
532,17355,1,1
533,17351,1,1
534,17370,1,1
535,17350,1,1
536,17269,1,1
537,17374,1,2
538,17345,1,1
539,17377,1,1
540,17362,1,1
541,17386,1,1
542,17223,1,1
543,17388,1,1
544,17396,1,1
545,17414,1,1
546,17408,1,1
547,17391,1,1
548,17379,1,1
549,17400,1,1
550,17423,1,1
551,17429,1,1
552,17380,1,1
553,17436,1,1
554,17428,1,3
555,17432,1,1
556,17437,1,1
557,17442,1,1
558,16992,1,1
559,17456,1,1
560,17453,1,1
561,17451,1,1
562,17427,1,1
563,17450,1,1
564,17412,1,1
565,17420,1,1
566,17474,1,1
567,17466,1,1
568,17485,1,15
569,17488,1,1
570,17298,1,1
571,17455,1,1
572,17475,1,1
573,17496,1,4
574,17499,1,1
575,17481,1,2
576,17484,1,1
577,17500,1,1
578,17464,1,1
579,17505,1,1
580,17503,1,1
581,17494,1,1
582,17483,1,1
583,17491,1,1
584,17489,1,1
585,17510,1,1
586,17514,1,1
587,17502,1,1
588,17508,1,1
589,17173,1,1
590,17443,1,1
591,17478,1,2
592,17527,1,1
593,17526,1,1
594,17516,1,1
595,17531,1,1
596,17387,1,1
597,17520,1,1
598,17511,1,1
599,17532,1,1
600,17535,1,1
601,17530,1,1
602,17540,1,1
603,17525,1,1
604,17476,1,1
605,17393,1,1
606,17544,1,1
607,17548,1,1
608,17538,1,1
609,17458,1,1
610,17550,1,1
611,17441,1,1
612,17430,1,1
613,17444,1,1
614,17553,1,1
615,17559,1,1
616,17509,1,1
617,17519,1,1
618,17554,1,1
619,17382,1,1
620,17558,1,1
621,17487,1,2
622,17195,1,1
623,17555,1,1
624,17565,1,1
625,17571,1,1
626,17570,1,1
627,17572,1,1
628,17566,1,1
629,17537,1,1
630,17574,1,1
631,17564,1,2
632,17522,1,1
633,17534,1,1
634,17577,1,1
635,17431,1,1
636,17592,1,1
637,17551,1,1
638,17605,1,9
639,17596,1,1
640,17609,1,1
641,17600,1,1
642,17616,1,1
643,17612,1,1
644,17119,1,1
645,17610,1,2
646,17595,1,1
647,17590,1,2
648,17620,1,2
649,17583,1,1
650,17517,1,1
651,17628,1,4
652,17507,1,1
653,17611,1,1
654,17624,1,1
655,17635,1,2
656,17579,1,1
657,17636,1,1
658,17638,1,2
659,17639,1,1
660,17602,1,1
661,17625,1,1
662,17642,1,1
663,17647,1,1
664,16785,1,1
665,17648,1,1
666,17623,1,1
667,17641,1,1
668,17631,1,1
669,17661,1,1
670,15894,1,1
671,17664,1,1
672,17667,1,1
673,17650,1,1
674,17671,1,1
675,17677,1,3
676,17674,1,1
677,17666,1,1
678,17673,1,1
679,17646,1,1
680,17678,1,3
681,17682,1,1
682,17683,1,1
683,17692,1,1
684,17411,1,1
685,17695,1,1
686,17654,1,1
687,17698,1,1
688,17438,1,1
689,17680,1,1
690,17518,1,1
691,17706,1,1
692,17615,1,1
693,17721,1,1
694,17701,1,1
695,17722,1,1
696,17712,1,1
697,17711,1,1
698,17694,1,1
699,17729,1,2
700,17691,1,1
701,17730,1,1
702,17738,1,1
703,17681,1,1
704,17736,1,1
705,17742,1,1
706,17589,1,1
707,17740,1,1
708,17749,1,8
709,17744,1,1
710,17732,1,1
711,16949,1,1
712,17750,1,1
713,17754,1,1
714,17739,1,1
715,17756,1,1
716,17759,1,1
717,17761,1,1
718,17723,1,1
719,17753,1,1
720,17369,1,1
721,17607,1,1
722,17748,1,1
723,17757,1,1
724,17765,1,1
725,17766,1,1
726,17767,1,3
727,17769,1,1
728,17719,1,1
729,17772,1,1
730,17662,1,1
731,17669,1,1
732,17670,1,1
733,17660,1,1
734,17715,1,1
735,17778,1,1
736,17777,1,1
737,17773,1,1
738,16954,1,1
739,17727,1,1
740,17708,1,1
741,17781,1,1
742,17784,1,1
743,17713,1,1
744,17785,1,1
745,17795,1,1
746,17802,1,10
747,17789,1,1
748,17801,1,1
749,17803,1,1
750,17816,1,1
751,17827,1,1
752,17758,1,1
753,17782,1,1
754,17270,1,1
755,17690,1,1
756,17847,1,1
757,17838,1,1
758,17852,1,1
759,17844,1,1
760,17856,1,1
761,17857,1,1
762,17866,1,1
763,17806,1,1
764,17864,1,1
765,17862,1,1
766,17798,1,1
767,17865,1,1
768,17859,1,1
769,16832,1,1
770,17832,1,1
771,17871,1,1
772,17885,1,1
773,17887,1,1
774,17672,1,1
775,17892,1,1
776,17880,1,1
777,17896,1,3
778,17853,1,1
779,17894,1,1
780,17898,1,1
781,17900,1,1
782,17901,1,1
783,17893,1,1
784,17911,1,1
785,17910,1,1
786,17899,1,1
787,17908,1,1
788,17915,1,1
789,16461,1,1
790,17922,1,1
791,17322,1,1
792,17937,1,1
793,17913,1,1
794,17906,1,4
795,17163,1,1
796,17888,1,1
797,17755,1,2
798,17653,1,1
799,17608,1,2
800,17834,1,1
801,17927,1,1
802,17751,1,1
803,17676,1,2
804,17731,1,1
805,17807,1,2
806,17557,1,1
807,17905,1,2
808,17943,1,2
809,17953,1,1
810,17955,1,1
811,17956,1,1
812,17946,1,1
813,17960,1,1
814,17950,1,1
815,17966,1,1
816,17965,1,1
817,17968,1,1
818,17969,1,1
819,17979,1,1
820,17883,1,5
821,17919,1,1
822,17971,1,1
823,17975,1,1
824,17964,1,1
825,17963,1,1
826,17974,1,2
827,17981,1,1
828,17985,1,1
829,17967,1,1
830,17970,1,1
831,17986,1,1
832,17805,1,1
833,17482,1,1
834,17990,1,1
835,18000,1,1
836,18004,1,1
837,18013,1,3
838,18002,1,1
839,17716,1,1
840,18015,1,1
841,18028,1,1
842,18016,1,1
843,18025,1,2
844,18024,1,1
845,18029,1,1
846,18039,1,1
847,18031,1,1
848,18040,1,1
849,18042,1,1
850,18021,1,1
851,18053,1,3
852,18043,1,1
853,18044,1,2
854,18038,1,1
855,18055,1,1
856,17992,1,1
857,18041,1,1
858,18059,1,1
859,18018,1,1
860,17977,1,1
861,18012,1,1
862,18058,1,1
863,18057,1,1
864,18072,1,1
865,18048,1,1
866,18050,1,1
867,18049,1,2
868,18076,1,1
869,18032,1,1
870,18056,1,1
871,18062,1,1
872,17957,1,1
873,18087,1,1
874,18089,1,1
875,18069,1,2
876,18086,1,1
877,18090,1,1
878,16674,1,1
879,18102,1,1
880,18073,1,1
881,18105,1,1
882,18113,1,1
883,18112,1,1
884,17912,1,1
885,18114,1,1
886,18107,1,1
887,18108,1,1
888,18017,1,1
889,18124,1,1
890,18128,1,1
891,18121,1,1
892,18130,1,1
893,18139,1,1
894,18142,1,1
895,18152,1,1
896,18135,1,1
897,18157,1,1
898,18151,1,1
899,18035,1,1
900,18141,1,1
901,18165,1,1
902,18164,1,1
903,18161,1,1
904,18167,1,1
905,18162,1,1
906,18168,1,1
907,18170,1,1
908,18149,1,1
909,18163,1,1
910,18154,1,1
911,18159,1,1
912,18158,1,1
913,18146,1,1
914,18160,1,1
915,18143,1,1
916,18169,1,1
917,18166,1,1
918,18183,1,1
919,18175,1,1
920,18184,1,1
921,18081,1,1
922,18190,1,1
923,18177,1,1
924,18179,1,1
925,18199,1,1
926,18203,1,1
927,18197,1,1
928,18098,1,1
929,18208,1,1
930,18205,1,2
931,18212,1,1
932,18101,1,1
933,18036,1,1
934,18219,1,1
935,18214,1,1
936,18218,1,1
937,18217,1,1
938,18220,1,1
939,18195,1,1
940,18222,1,1
941,18230,1,1
942,18215,1,1
943,18234,1,1
944,18242,1,1
945,18228,1,1
946,18117,1,1
947,18129,1,1
948,18250,1,1
949,18251,1,1
950,18261,1,1
951,18246,1,2
952,18264,1,1
953,18277,1,1
954,18269,1,1
955,18270,1,1
956,18223,1,1
957,18252,1,4
958,18255,1,1
959,18280,1,1
960,18260,1,1
961,18293,1,6
962,18296,1,1
963,18308,1,1
964,18302,1,1
965,18310,1,1
966,18318,1,1
967,18309,1,2
968,18320,1,1
969,18176,1,1
970,18332,1,1
971,18283,1,1
972,18272,1,1
973,18316,1,1
974,18278,1,2
975,18335,1,1
976,18336,1,1
977,18313,1,1
978,18340,1,3
979,18341,1,1
980,18342,1,1
981,17907,1,1
982,18345,1,1
983,18347,1,1
984,17825,1,1
985,18334,1,1
986,17884,1,1
987,18325,1,1
988,16637,1,1
989,18239,1,1
990,18284,1,1
991,18297,1,1
992,18357,1,1
993,18368,1,1
994,18367,1,1
995,17644,1,1
996,18372,1,1
997,18373,1,1
998,18377,1,1
999,18376,1,1
1000,18378,1,1
1001,16993,1,1
1002,18206,1,1
1003,18382,1,1
1004,18385,1,1
1005,18275,1,1
1006,18380,1,1
1007,18381,1,1
1008,18305,1,1
1009,18383,1,1
1010,18384,1,1
1011,18398,1,1
1012,18397,1,1
1013,18391,1,1
1014,18401,1,1
1015,18386,1,1
1016,18379,1,1
1017,18399,1,1
1018,18412,1,1
1019,18389,1,1
1020,18420,1,1
1021,18432,1,1
1022,18424,1,1
1023,18491,1,33
1024,18436,1,1
1025,18402,1,1
1026,18430,1,1
1027,18423,1,1
1028,18103,1,1
1029,18438,1,1
1030,18437,1,1
1031,18403,1,1
1032,18421,1,1
1033,18426,1,1
1034,18428,1,1
1035,18422,1,1
1036,18429,1,1
1037,18267,1,1
1038,18439,1,1
1039,17452,1,1
1040,18408,1,1
1041,18447,1,1
1042,18307,1,1
1043,17573,1,1
1044,18446,1,1
1045,18268,1,1
1046,18450,1,1
1047,16484,1,1
1048,18449,1,2
1049,17809,1,1
1050,18453,1,1
1051,18457,1,1
1052,18454,1,1
1053,18464,1,1
1054,18463,1,1
1055,18478,1,1
1056,18490,1,1
1057,18482,1,1
1058,18480,1,1
1059,18479,1,1
1060,18494,1,1
1061,18493,1,1
1062,18477,1,1
1063,18471,1,1
1064,18495,1,1
1065,18080,1,1
1066,18531,1,1
1067,18514,1,1
1068,18533,1,1
1069,18496,1,1
1070,18549,1,1
1071,18489,1,1
1072,18501,1,1
1073,18488,1,1
1074,18546,1,1
1075,18512,1,1
1076,18539,1,2
1077,18555,1,1
1078,18569,1,1
1079,18563,1,1
1080,18564,1,1
1081,18552,1,1
1082,18585,1,1
1083,18537,1,1
1084,18590,1,1
1085,18593,1,1
1086,18575,1,1
1087,18541,1,1
1088,18579,1,1
1089,18544,1,1
1090,18578,1,1
1091,18525,1,1
1092,18513,1,1
1093,18583,1,1
1094,18597,1,1
1095,18520,1,1
1096,18523,1,1
1097,18581,1,1
1098,18582,1,1
1099,18602,1,8
1100,18566,1,1
1101,18586,1,1
1102,18598,1,1
1103,18492,1,1
1104,18427,1,1
1105,18605,1,1
1106,18601,1,1
1107,18547,1,1
1108,18526,1,1
1109,18567,1,1
1110,18619,1,1
1111,18624,1,1
1112,18623,1,1
1113,18608,1,1
1114,18632,1,1
1115,18634,1,1
1116,18636,1,1
1117,18497,1,1
1118,18643,1,1
1119,18644,1,1
1120,18556,1,1
1121,18505,1,1
1122,18641,1,1
1123,18626,1,1
1124,18655,1,1
1125,18649,1,1
1126,18665,1,1
1127,18625,1,1
1128,18673,1,1
1129,18621,1,1
1130,18642,1,1
1131,18687,1,1
1132,18671,1,1
1133,18691,1,1
1134,18664,1,1
1135,18678,1,1
1136,18663,1,1
1137,18699,1,1
1138,18700,1,1
1139,18635,1,1
1140,18672,1,1
1141,18705,1,1
1142,18638,1,1
1143,18707,1,1
1144,18709,1,1
1145,18692,1,1
1146,18704,1,1
1147,18710,1,1
1148,18697,1,1
1149,18243,1,1
1150,18647,1,1
1151,18668,1,4
1152,18702,1,1
1153,18684,1,1
1154,18731,1,1
1155,18532,1,1
1156,18685,1,1
1157,18741,1,1
1158,18441,1,1
1159,18727,1,1
1160,18674,1,1
1161,18782,1,1
1162,18760,1,1
1163,18714,1,1
1164,18777,1,1
1165,18783,1,1
1166,18789,1,1
1167,18772,1,1
1168,18775,1,1
1169,18771,1,1
1170,18773,1,1
1171,18764,1,1
1172,18790,1,1
