group,elements
39,16326,0ad1f5cca13be94f7e02ce4d61b8f8bf2638e241
40,16299,2f0cbb5aa5801144aa887a164f4c95ef146686a8
41,16332,7c3dfbcbdf46d057ae4f145a8ddfc8e193d90ef5
42,16339,2313f1a88402784d6930ac3c73c990548a3ff1f1,b205f1bd9cb9b6c19b90aab1de6d20c45be3bb4f
43,16314,31aed632bab5f0cdd379640296ebcf4c14482461
44,16329,9a5ae23f7e3d49b0b32ae423513d2344a837d698
45,16287,bc2accfc7edae72d24390b1c72534ff8bdcdcde6
46,16341,33153ddd2d02b55a13d11d670b8742c15264fadf
47,16349,ea29349f77df3a4eb553300c1b694afe656cd56a
48,16342,317e741c0273ce64232d60453dd366a12331189b
49,16337,1592d2a8faa4d3c7bcb4f346f1415d5540335589
50,16356,169205813b7d8f75a435edc092c8aa6678754711
51,16301,b57d52ce774a80463545c7538819b56bcd7dff56
52,16335,3070ab6a96c98c2f31116db691d789ac8ec970e7
53,16362,b7dc4f0a462aaa85eb37d3725efc13371f15753a
54,16363,b5cfeb3b5b350758867513de735ebf1ddf42b57e,977ccf7cb2553d249419d38c1f159bfde923b63b
55,16348,5dc4a86d9dde59823224d6dfe1f0e0bcb68e39b4
56,16336,0b6d95e8ce7c882e2db9e89fa0dec850c687f65e
57,16361,4dd016004b587d884c7540cb191446db3bc8c2c2,5f38497e19c796b272d8ed29c9ed5802093d0747
58,16368,3b47d28e37d80d82e6496fbe59676078578dbaa8,fc5e3fa0394b112ab238e1cf67a755c0f1bc8b00
59,16331,c38044d74fcdc7bedda20153917bf1ed63f0eedc,ed0063b4d593436c531e851054127a64a133be18
60,16367,55f2c4d6ad8ace7690668c64378248571871c7eb,38c524cc2ad83001b3b2be28e9c7f25cbc126ca2
61,16325,935d0a54e7100c24c41f597174a78aab94836cab
62,16379,b0b3743f3643da390c3624f59dd2e1659acf6fb7,e5acc9be7aec1e66b0af20290f28408ad20dd421,6bb1e5ffc4caa318ad005d893b676756769cab7b,50b57fe926b8ddbb0b732bce313767116ebc241e,c97bfe21679544bdf4ba7f20d459b6cf219e21e8
63,16384,0e2da3c2abb0c2797cb24da05e16d76bfc179e8c,3f21a2c8f3cbdfa8a5be6309d099c2f7fcc5d005
64,16386,433b9a7f70231bcdfe4bb2d9ef08a240f92090eb,b7ca80ed581f3ad232107726b651f6adb407d197,341cc0dd833b63f226347ce9e05ff41d9a568ae7
65,16389,c4de19ef097006408bbc52f489ec860b43cf8c17,254d6d37580a70fbb4fa072b0b2b16d2984b3bb5
66,16390,d3ecd70eadb4b682358e25934b13a88f2a69694e,cb34178cd69d0dc8a88657379f796a4811de23ff,87a6364d58a52ffa5f930770b7226caba9e88e5d
67,16391,5c9be2dc2b7bdb75dd3eca910754d04f08cfdd06
68,16378,5368fef5ee6859c3bc81f6c6c2cbb7635d9f4778
69,16387,e74736a471f50781db06914f1c048aadabfb52bc
70,16407,f2f58e522b8d8702814d8b6943343d68029d0a1e,8ace3754509cd9875f3a6b28d5f90f5471bffd9a
71,16408,49f913ac8afda7f7b2321c6b4755557e56e57ef3,14a76b03c51af060cd497b1e14e891b548c340d9
72,16161,068660732fbf10cae688182ef67f72cf80ebb632
73,16370,4dd0a137a4d39531b0a5aee6316f31c8335a4173
74,16412,f809fe55a88438009390a25e871d1952780dc02e,779fda51037cc4540e844b9760538d2bafae04e4,7678654781869c0507f6dd07c9756a9ab666f991,40cf68aa98078d5dd6c62ec21db5e0e9366a6b1c,692f70cb677a127499abf930035982386f391026,71dce6502a5b75e74ef765e2d2b9e674680e9a80,47efe6bab00303974025dd7f41af806df49fe842
75,16405,fbdad781018886353f8a02a23eee9957a092bbf3
76,16409,46302d54aab15e2f2cd23dfa06a7915f9f15943b,f83a8da0cef4512a09e1cb8c6a680bbbda6fa108,8c01fd5189f2675e05720656bd1b391854c958c1,ac42e06fead6433ce2d6b10073ec591629a5054c,f3b0e98aae938d411ce0ad1b558802b3ff626397,26656df25eeed84cc0cb3ff5947ae718dac5fe7b,e23c35f7306818a525db28f5c141e5645aab96cd,55bc2fee8aa1964d338d4ee398a1fa2f7fccd87c,35d8ca894b5a0b3aa8073e71a2c3b63969cd6011,d3817c93025c24c62b3b8c7424b2ce4106ef05ba,9be0c2217c3f2b89ad1ee7bb6d4e627109bca378,e2c7b4200a9153bc919dcd2548d395f03d223e0c,f256a4525d4e0751d3ec91bd47f3c3b63fc30fc7,f5a1fa4744ded71978714bcfe1b6d2a8252da677
77,16244,473d07a86cc571eba3c38c2bdeae980a4e0c2d22
78,15898,f626f3e7aa540c9d7fb267d3beb4ec4cb32fac8d
79,16416,9bffb810eea2491f9cc63970687bebc26b0803ac
80,16429,c357de87ec2b3d4369f6c2405c5baa919d1e1059,fdd0d7f027f2f45a8aacd304747a42e4ae7d9739
81,16431,8b338a96193dec4eb226b6279eaf9eae304d605b,f5717d21bbf4a98a2e1b8c431617590aec1d68f8,f0cbb79b7f17d30c6674f600f4fccef8a4f1cc87
82,16414,f6b189ecab310271f456dea05e2ddd320d72acfc,0d603261a0e27f97c0f8f7874411435010799550,4ed1c3335f2ddf88e1e402ad046bcb2d7cebc7d0,81f736e7745d7d94c282eb20605e970db74aeef1,97d2d976156f5584d913844f2610683978f2a567,ab9c58d76d49c750bf69ee4f6ba89c45c8a1df51
83,16426,cb1f7c0677d2c99d56c10a80855e7077f4b6687f
84,16397,0661bf0424f78f35571c229733d61b406f082e5b,7615ba3e45654ce5b22125c818876c10b6e4fbf9
85,16345,83cf007ae3e52a7c83d2a31bbc939aa08df67392
86,16439,3a409e8a7fb37770dd0699483a47e244f32c8605
87,15773,ab6a09741d1017800ecc2d1688562f68547d7834
88,16003,99e9d8064272eefdba7c567f44d924ad1ec938ac
89,16355,9d1eec6bf88656e8302441d0349dcc467a52b605
90,16451,7d43ffda1a29315b20d2ab64d19db9d33e8faa4d,4f8c0b9b46eb014ba7db36d824b3002c217a6c5b
91,16454,2224d6b55d286e8ab1f2b222f4171f9667c27ed6
92,16463,e95ef822a16406c2c75f973f22c6e47d0e4f4e7f
93,16446,510f3c7d70d576cffc5f32edf8741ed841e6211d
94,16432,b6ca76c48415393f09f09977327c0bcd99f10bf4
95,16458,6671316e35d9753539a0276c2c90c0300403b0ad
96,16448,6aaec2fe9b0c57dcd03967160d8c67bebcd91fae
97,16441,2f2771fcfa22ac16a24a6a1ff2554440e5de29ca
98,16465,a86fb8c8474405541937a06c630c47e8abc34459,2f11eff09bfdd2930de88cdb07e46eb031f19bab,37c6d154ef7249471a0399ba22ccb5b92fcff99b,366f2750cd3f7837b1160db8d0001f8f83c3f185,501b9cc3ddb57e8fe27a26f31031c5f8f62b3e1a
99,16427,80504b8c983beded10b7968be47ac335560237bc
100,16476,f9be7a67d33d9bdec342401a8ed84885672e9b67
101,16487,a908b72037d0fd13f2a86208f35e833b62a96e55,65a71a2912920768134442e04ea17c4fa7382d22,c7d785f32996e9faa693f5e297d2ac47ee795acc,3108d4305174a015484aa0f77226e98ea13cb948
102,16076,85265d884cf31f8779daba2d639eb795fbc9bd5e
103,16493,044d1519bdf40f37ec06128dd383c21157dc3c0e,fa1288794b5a38fa717d0f8db459386c3d4b3ad3
104,16396,78edafd6e2d5ce886e2fd2ddc3cf8bbbffeeb860
105,16477,67c97d30b45751b5d87254d07c5343d92008dfb5
106,16495,515ec751547dea506e9de666ca1479f245b9bd93
107,16492,39d62eb8c8cb0bf5f16eca014c55722e9332ccb5,82f618023fb06bd8df6f0276ac2e390cc4c7d069,88ac3856eb0958f4e032e677493e99360a1ee500,a0307b1e3458569c0a02c0492c3f7b4ef09200ec
108,15950,7ca15e5a42ad03572e9209abb7e030ad712ee4b5
109,16501,9f9e5f7803b98494ca8773876c81e0cc582d679d
110,16468,6cf8b6e73824545709cf6556726e0460bc7e2558
111,16459,bfe1b6182cb4e354f94d00d3206be4b83331db1d
112,16485,70aba13173840818246b470e425a6d2585e7672d
113,16371,00c1ec421a3d47931bd9ad719faec62e60277837
114,16509,ccc4bf853618649602691c6a10af59f80cd18466
115,16490,580defd967aa3c0bbdc985ca001bad28c6fdec80
116,16502,f97d699183332ce6d6e1e2e0c61b6952de7abac3,f914d900f6fc639b25eca68432133fedd4f6297b,e9dff75d2fb049f11fdcf595b68de1f3061bdeb7
117,16508,79475574a6fe19fbd3ab009bb1a25052a7d988e0
