issue_no,pull_no,actor,created_at,event
19733,19915,fanyang-mono,2020-06-05 02:03:13,connected
17209,19050,lambdageek,2020-02-27 01:08:51,connected
17209,19049,lambdageek,2020-02-27 01:08:50,connected
17140,18984,lambdageek,2020-02-21 16:48:53,connected
17140,18983,lambdageek,2020-02-21 16:48:53,connected
17140,18984,lambdageek,2020-02-21 16:48:53,connected
17140,18983,lambdageek,2020-02-21 16:48:53,connected
