commit_sha,pull_no,issue_no
92ce33dabaefe50e8c7b8a687c4fc85493b8c518,20226,None
a7aa383fc676fe1e7638a6857f0ca6fa4fc49f8a,20187,None
45f2b54612c4a30a6e0d7d90cfbc42994e676174,20211,20209
9d9ec219c14e21247f26d765058d5b69d802c8a0,20217,None
d09e9e21b3e6bae89f33e4d243a40ae585a81898,20189,None
92f54ee4c2884fa42e7875e27c9f82f0679ce8b3,20192,None
71307187cb1e9d8202d30fcaa1f5c4e4a66bc551,20190,None
f0229da768168c161ca3cb47322d311dce5729a9,20188,None
2921130fa84b24287e6144d015b7010902cb18c2,20184,None
a57e7e4d5f736007b9361bcfe9e0df3e263ffa9f,20177,None
c16f6e0955d9502bcfd9fb06e8ef2cbe0a05720b,20144,14241
9a66d68d965ba65ffa8f67b5e36e2113387d5f20,19872,None
957d1942d131f0dfd46b79b3cf3f761bfb783197,20112,None
b3ce259316a9aa49f088515496f1dbfce348a101,20124,None
cf9935e1367897ccd03c382d4dd75714d0002f3a,20175,None
ae983fe58fd5f8e48624efed7ce1070fc61e54ab,20166,None
218419e77b886c45bfeedf1bcc0c18ee1d251d98,20159,None
60643c36f5d4e349276e5dcce0e7fc3dc1d72f74,20122,None
c0aa77d2eae23bd3809e7b06c1ec82425f25ec30,None,None
83083ef905bfd931ad21c1138b7625fafeac6da2,20157,None
a2fcf072e8ab42b121fbc81509c9793875846c12,20143,None
2058deb70f3af29e569a29baf2a657add58e88eb,20137,None
d8dda25c27ff69676b69e656e3aaef2fa8dcac3b,20133,None
e1ba14ff825914ce405f8ccd1dcf8449dbbf9361,20125,None
3856ef71f87a76657c02dad158d9ba76fb9a0dbe,20121,None
a64bca988dc8c97ec9eff9625b7afad72bea548a,20119,None
b601abd3115aaa7e8951d4e351e8c66b47dbfe93,20117,None
ee3a669dc30689af8c8919afc61d226683a1aaa3,20044,None
47ef5a8d6adcab3a16f70f5ebb449551ebea3f9c,19446,None
1bf3add26da9e20f1335337f9a58a1af4c289469,20085,None
9c0121161c1c421753ed99298a1fb4557ea233fe,20080,19955
5bd9f53dc0045b38668ff20bb4916c02dbefcb73,None,None
1d94e306fb59c2646e5d30849610fcee9451f6c5,20083,20075
f047b0b29904f595ce1fbd7a24022bd753f545dc,20076,None
1da3a20c8b10f67d521a37ac1c2a32dc604ec484,19760,None
618cdf6ff78f6b8f8b519a1b6988f57682f87a76,20070,None
6cb3c5bdbbc1260df4d8e9db05c47df2c446e6d5,20079,None
6de06a3636dd2616f0fa693c006b289520e6e6a4,20040,None
8b8ee716f4a2d2ce62e4cf68e8f20fa957ee87b0,20032,None
b6ef72c244bd33623d231ff05bc3d120ad36b4e9,20058,None
b70c794f701bb86be5fef59f6ae02ccccab6f982,19961,None
96927e35324685704f51dc1ef6c01584839b96a8,20050,20049
ffb6ee3c0aed7609cf96ec34b0d018efa5b6cf09,19958,None
51dfcfe5c0f10415fc8970a86ffa5c0b1b7a325a,20031,None
174aeaa31c9d80a53c6c7981ba7206825cd1ea4d,20034,None
b873e91b11f960373d70b82bbf6e75cbf29b5418,20024,None
a79bf1902d335552891353e8c7b22af33019b299,19768,None
380d60dc700b1b3092da0b57fe1e763a47b54d23,19926,None
80a9ecba2e7c93754b3ad26b0918976422365ff7,20015,None
b3110cd29148fc7dcdb7375feb3f7f12aa965aa3,20008,None
f562eb8869b9ad412e5174d4c46b7be35a4c1783,20026,None
28ba000f8439d28f2450821f2e343876ed267d1b,20020,None
0d655a5eb623eaf8d8ba20aad1fed1cc53fb1423,20021,None
a654692162dc2adb2d534a2f4a062cd028865dc7,19923,None
82d2277a085690465fc77a5e45e9c53dc9ed35ea,20011,None
7a0425e81ffe0e77a4ba22ff45e691934ecc49a1,19973,None
caf00ee3d68db72d257a28a98bc8b54181c3a479,19972,None
872139a3e0400971a216c1e0197e6b7423c8e3fd,19183,None
a0231c5fc3074f7028add5985c0ec7ca37f154aa,20017,None
9c62b13be4ac5404e4586f5ebacef17ae33c5ce1,20001,19612
21e1d30efc4483baabab19939662ddfeb9d74e4e,20008,None
09c44c932388ccee54c83aa99b4e6a43cdc51ed5,20006,None
cec9dee254d07aceb972b442d1eef781096b7039,20008,None
2c2a1718a93addcdebd4fc8693fb6b0d6d44b917,19985,None
ab3cc22dfe54a0fc6619e6521cd0e90d0fe1eddf,19991,None
d919597d26ff6f439114efc7250f6067bab043e7,19993,None
a1b885f1fcec783a610a6071cca936e9eb1b6869,19989,None
9954695c4c4e76a37753aec796b1971230315c22,19714,None
ea8f106187bd04c74db77ec56b4b27f66676d3df,19988,None
4ac081d6df9eae6c848044ca01485d2f1c7df4fe,19980,None
61808b8f27bda29cd7746e40c6f6b195e0bab69d,19975,None
74f6d2ce2d1f2f1b8ee494355c237360e27be122,19979,None
35153475a28ba8cc2b8a7f060da7f88dc31baa0a,19963,None
540da38191e5889a3d5d2316e4e45750c0d29c44,19901,None
e51b4af9cd87b1a36022d7d774d7c1e98b65bdfd,19947,None
4966fc22c4d67dc5432e0fa3bf365c371c01bb1f,19946,None
07e6f1e6054b2cc7dfb39959fbc814b056500425,19909,None
e19ce7b4337b9dd9ccd4b99a068212ed01737579,19938,None
aa46acadd4bb60a6924245acc2bff9898657022b,19937,None
a0658ed9b407cde81b08c5f16a8410103454c4b8,19938,None
965b2eb778a75b703c23b80dd17dc7f2125cdcbc,19938,None
f37c1c91dc4fec4586d6f5de3c55dea7f95cb648,19938,None
df2f9b01d29dcc6d24d3ca52894566ac439eb9db,19914,7167
faee046f956eaaaaa58686196db6fb204af69497,19935,None
5ec4240614e48578155dea0d814fa6f6798e6774,19929,None
ba14e694745c40dcbb8c6cfa75b93f3846d8f538,19912,None
ad0b2b8e3d6e92838d6fbe308315cf8e61700b31,19913,None
fdb5e61a5b6982cd7c6f5afb5933e0db0c1d8948,19922,None
2321bba344049115b0a0d58fcdfba1f9cadc4280,19917,None
0250810bc9380d370f1e5b98b2d2c8e118a11e4e,19904,None
5246aaf49233f18c04fee8be2b9fc0a06bd46b12,19919,None
f27ccd0432af4cbe566d4efa4b6ceaa3bc9ff663,19918,None
dda38c4d17b377263a8e543a51a4fbc7cd8761ec,19921,None
9dc089f3340e04a10ed771ccbacf029b4cd1d8be,19920,None
eaa32d13659f0a6b6b5e62ddb49af68b1f9efb6c,19892,None
3b2e8e11029d9501b869ca03eb8e461ee07abf14,19898,None
51b5fa6421c762ea079ccd09ff3c08ead87cad14,19891,None
3f5ade52464e93a78b5948b2e00f79f29ff204d3,19895,None
d5ed68483c83a8445737a810e7629ddd0598632e,19857,None
b7a100c036dfe94d0b555fd9ea35b55a2e57ee68,19883,None
9c0403bc46b8c6b9e2faf70676bc9b06c16b6453,19873,None
d35dc0bcf4cdaf39e12c307f253e064e1c205382,19881,None
e163c5b6a26cf273cea847b0483e140ba294aed3,None,None
bea273e99c940375c15b8c4fe7e1bf235d9022d3,19701,None
5c204cfb10329ba4e0a5299dfac33ea8bd2822ea,19859,None
5c9b63da2e19fbf3c44c7b6028f5caa1fb2d3763,19863,None
da59b3acab3abae46a35ef24723a694fc4fd9546,19853,None
14ff5bd29a8aaf05a1b249fc9944fee9d7fc3dc9,19850,None
53d001770145179475b4994842065542bd473263,19839,None
38356be989878103ad9373ac31bf1892aa6e4233,19844,None
dd9bc98945e7fb9930f087d7f5f89622c460f618,19812,None
02e83f0ddc0c374509ff2661c0d5903c0ca58e6e,19833,None
8446996cabd9fa0fbea802d6098e19df91ee4053,19809,None
8f0fbfcd95ed2642fb6f2087a39218b7803fe5f5,19819,None
d2da9004266821aba70f5dbad44536880454d3a5,19829,None
a1b68d97c3ef261f4aeede766e8221dbdf33796e,19726,None
7490cc0e2b5b88d98587d24820ab5842bed7a535,19815,None
783b96aa4cfce8ce3b0e11618c5309ba45f9f1f2,19814,None
cec64d9b7f4c0ca478f2913dacb766d8ff092d61,19802,None
0c87593336bf40691890f6439d8afc49e5851d2f,19805,None
e2b1e065d05c6c4cfde582bdc3fd081553dc2ceb,19807,None
29186550631b8de11921cb8edee0ce05dde6384e,19798,19784
29186550631b8de11921cb8edee0ce05dde6384e,19798,19784
98320ecbde70b29db4c2591f9a8ae82ee60a2b52,19769,None
4490662bc09963ea741f6962c1c3f44f111077a4,19793,None
669ba26333b8efcd6f83754183c8c60b6967a081,19782,None
b552da81ffc4eff9d3143e731442dc2243d12913,19788,None
38584afad069c48b30dc9c3597ae91f51e931d18,None,None
1a022edfcb95b0e23bde81d887e23ade18ffde57,19778,None
13c5c4129e231324451e7253f5326eddce83500e,19758,None
bab72f364ae840793017e886af570b9ebe90cb48,19771,None
b9d0edb40771fa8cfed6d048f35b05457d2ec0c8,19642,None
b66f812449e042895123ffcad0f199637cf1483a,19770,None
f265d9a7838c97d33e8836dfc42d1f946de09041,19766,None
bcbb4cf5a632c33da0aed2fcd7050ec09048c220,None,None
b7274d8a2707c30f73f247422c7a06ca21e9b0f7,19759,None
33b0653c2ca156724789d5448817a4b58f38491a,19725,None
430570e18b18cd5716c2028183a69eab21632fc2,19744,None
169a842f4e913608b17a1e5f38bcb635063b8dc8,19747,None
866914eeff6ef41b95feb054be2b3d6a2a7ba3fb,19748,None
8e1f242bdbbe3f4efe85a430472a61a8f2b78399,19745,None
798f22399e19c6f5dc75a8e338afdabf722cd785,19730,None
049de7513a894cae5581c35f3ee0b40f9f2d5f1a,19709,None
680481793ad155f5c9e13b1003de2c42ac7dca50,19736,None
8d774f90bfa53d553221ad21b19194a20b42e991,19735,None
ae1ba25fb1212255612dca3de017f1eaf06f30cf,19737,None
3546709b3f8e83d38cbd46757d5e90e9aa29e926,19722,None
c2795c9cb597901a0b1a7886583cc37bffef1271,19621,None
c9e6754eea828d7c1ce1a1d3201c597e47451ccf,19676,None
e96347b0ef430930b28ceb49a3e52834ee4351bc,19719,None
f6e347ed1127ad1f4833796941eeac1441d253e0,19688,None
5d59d699fca318305abf43b1854d7285476955d0,19712,None
cff010202b21c6ab04c56306c5ac98b554811aeb,19705,None
e911de2a8b171ce7967a5ec5873350d5a89676e9,19704,None
5633d5ccefb66be71b00c67a284d6f7b68754974,19697,None
fdc474bc46f88bb01b0da22aaff0fbd9b88d421f,19703,None
6b3eb8aa825779c911d2a07233756af6aa3d8e85,19657,None
