group,oldest_pull,pulls_total,commits_total
382,1243,1,1
383,1260,1,4
384,1218,1,3
385,1268,1,4
386,1274,1,1
387,1283,1,3
388,1258,1,1
389,1295,1,3
390,1299,1,1
391,1301,1,1
392,1302,1,2
393,1305,1,2
394,1308,1,1
395,1307,1,2
396,1311,1,1
397,1313,1,4
398,1314,1,1
399,1320,1,1
400,1321,1,1
401,1286,1,2
402,1324,1,1
403,1327,1,1
404,1328,1,1
405,1329,1,1
406,1330,1,2
407,1331,1,1
408,1332,1,1
409,1337,1,1
410,1333,1,1
411,1341,1,1
412,1272,1,1
413,1342,1,1
414,1345,1,4
415,1354,1,6
416,1351,1,2
417,1296,1,1
418,1355,1,3
419,1357,1,1
420,1362,1,1
421,1363,1,2
422,1364,1,1
423,1366,1,1
424,1365,1,1
425,1369,1,1
426,1361,1,2
427,1374,1,9
428,1383,1,2
429,1379,1,1
430,1385,1,1
431,1358,1,1
432,1687,1,21
433,1389,1,2
434,1390,1,1
435,1393,1,1
436,1401,1,1
437,1404,1,8
438,1399,1,1
439,1395,1,1
440,1396,1,1
441,1413,1,1
442,1408,1,1
443,1432,1,1
444,1435,1,1
445,1442,1,5
446,1438,1,1
447,1437,1,1
448,1490,1,12
449,1433,1,5
450,1336,1,1
451,1456,1,1
452,1036,1,1
453,1459,1,2
454,1474,1,1
455,1478,1,1
456,1481,1,1
457,1488,1,1
458,1489,1,1
459,1497,1,1
460,1498,1,2
461,1501,1,4
462,1502,1,2
463,1483,1,1
464,1612,1,5
465,1458,1,1
466,1523,1,1
467,1529,1,17
468,1528,1,4
469,1527,1,1
470,1536,1,1
471,1539,1,2
472,1549,1,3
473,1556,1,1
474,1552,1,1
475,1563,1,1
476,1570,1,2
477,1546,1,2
478,1487,1,1
479,1577,1,2
480,1584,1,1
481,1583,1,2
482,1592,1,2
483,1586,1,1
484,1602,1,1
485,1588,1,1
486,1608,1,1
487,1609,1,1
488,1610,1,1
489,1532,1,9
490,1614,1,1
491,1531,1,1
492,1621,1,1
493,1578,1,1
494,1624,1,1
495,1632,1,23
