group,oldest_pull,pulls_total,commits_total
353,3113,1,56
354,3112,1,3
355,3117,1,6
356,3121,1,4
357,3123,1,2
358,3126,1,3
359,3134,1,2
360,3143,1,10
361,3149,1,8
362,3152,1,10
363,3150,1,44
364,3151,1,2
365,3155,1,2
366,3159,1,9
367,3167,1,8
368,3173,1,9
369,3174,1,3
370,3178,1,2
371,3186,1,15
372,3323,1,23
373,3227,1,2
374,3199,1,2
375,3200,1,2
376,3201,1,2
377,3203,1,3
378,3204,1,2
379,3223,1,15
380,3224,1,3
381,3228,1,4
382,3229,1,2
383,3230,1,3
384,3232,1,3
385,3242,1,4
386,3239,1,1
387,3244,1,2
388,3249,1,2
389,3251,1,7
390,3276,1,2
391,3255,1,2
392,3270,1,7
393,3268,1,2
394,3274,1,3
395,3275,1,2
396,3279,1,6
397,3282,1,2
398,3283,1,2
399,3284,1,2
400,3285,1,4
401,3290,1,2
402,3294,1,16
403,3293,1,2
404,3305,1,4
405,3303,1,1
406,3333,1,8
407,3317,1,1
408,3318,1,3
409,3321,1,2
410,3334,1,1
411,3399,1,31
412,3342,1,1
413,3348,1,7
414,3347,1,3
415,3350,1,4
416,3355,1,3
417,3354,1,1
418,3361,1,2
419,3362,1,2
420,3363,1,2
421,3365,1,2
422,3368,1,3
423,3366,1,2
424,3367,1,14
425,3371,1,9
426,3370,1,2
427,3372,1,6
428,3381,1,2
429,3384,1,8
430,3386,1,2
431,3389,1,2
432,3390,1,7
433,3391,1,2
434,3382,1,1
435,3392,1,3
436,3393,1,1
437,3396,1,2
438,3398,1,6
439,3401,1,3
440,3397,1,1
441,3406,1,4
442,3407,1,2
443,3405,1,2
444,3394,1,1
445,3408,1,1
446,3411,1,2
447,3412,1,2
448,3413,1,2
449,3414,1,1
450,3419,1,2
451,3421,1,1
452,3424,1,5
453,3426,1,2
454,3432,1,2
455,3443,1,2
456,3445,1,2
457,3760,1,27
458,3446,1,1
459,3454,1,2
460,3453,1,2
461,3455,1,2
462,3458,1,8
463,3410,1,1
464,3459,1,2
465,3460,1,2
466,3461,1,1
467,3462,1,2
468,3464,1,3
469,3475,1,1
470,3477,1,3
471,3478,1,2
472,3480,1,2
473,3482,1,1
474,3483,1,5
475,3484,1,1
476,3485,1,3
477,3479,1,1
478,3486,1,3
479,3488,1,4
480,3491,1,5
481,3489,1,2
482,3490,1,2
483,3492,1,1
484,3495,1,3
